date,transaction_date,month,year_month,week_key,day_name,day_order,hour,channel,total_transactions,total_message_units,billable_amount,success_count,failed_count,pending_count,rna_count,active_users
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,12,SMS,18,24,12000,18,0,0,0,8
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,12,WhatsApp,48,48,11050,42,0,6,0,14
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,13,Call/IVR,15,15,2580,2,0,0,13,7
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,13,Email,47,47,1750,37,1,9,0,12
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,13,SMS,21,29,14500,21,0,0,0,9
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,13,WhatsApp,47,47,10300,42,1,4,0,14
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,14,Call/IVR,17,17,3480,5,0,0,12,8
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,14,Email,65,65,2200,48,0,17,0,15
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,14,SMS,15,15,7500,15,0,0,0,7
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,14,WhatsApp,65,65,14300,59,0,6,0,11
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,15,Call/IVR,18,18,3200,3,0,0,15,6
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,15,Email,49,49,1900,41,1,7,0,14
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,15,SMS,24,26,13000,24,0,0,0,8
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,15,WhatsApp,38,38,8050,30,1,7,0,9
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,16,Call/IVR,14,14,2600,3,0,0,11,8
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,16,Email,42,42,1550,31,2,9,0,13
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,16,SMS,9,15,7500,9,0,0,0,5
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,16,WhatsApp,40,40,8900,36,1,3,0,16
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,17,Call/IVR,15,15,4280,5,0,0,10,6
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,17,Email,37,37,1500,33,0,4,0,11
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,17,SMS,22,27,13500,22,0,0,0,7
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,17,WhatsApp,43,43,9250,35,0,8,0,13
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,18,Email,41,41,1550,32,0,9,0,11
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,18,SMS,19,28,14000,19,0,0,0,8
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,18,WhatsApp,37,37,6600,31,0,6,0,10
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,19,Email,59,59,2350,50,1,8,0,15
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,19,SMS,12,12,6000,12,0,0,0,6
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,19,WhatsApp,32,32,7300,26,1,5,0,14
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,20,Email,59,59,2400,49,0,10,0,12
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,20,SMS,21,27,13500,21,0,0,0,9
2025-01-01,2025-01-01,01,2025-01,2025-W01,Wednesday,3,20,WhatsApp,35,35,7850,32,1,2,0,12
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,8,Call/IVR,19,19,3240,4,0,0,15,10
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,8,Email,58,58,2500,51,1,6,0,12
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,8,SMS,20,20,9500,19,1,0,0,10
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,8,WhatsApp,45,45,9800,40,0,5,0,14
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,9,Call/IVR,19,19,5120,7,0,0,12,11
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,9,Email,54,54,1900,43,2,9,0,13
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,9,SMS,15,21,10500,15,0,0,0,11
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,9,WhatsApp,35,35,7450,31,1,3,0,11
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,10,Call/IVR,13,13,2720,5,0,0,8,7
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,10,Email,57,57,1950,40,1,16,0,12
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,10,SMS,15,24,12000,15,0,0,0,8
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,10,WhatsApp,46,46,8550,40,2,4,0,11
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,11,Call/IVR,15,15,2240,2,0,0,13,10
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,11,Email,55,55,2050,42,1,12,0,14
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,11,SMS,27,29,14500,27,0,0,0,9
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,11,WhatsApp,56,56,12650,49,1,6,0,14
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,12,Call/IVR,11,11,3060,3,0,0,8,4
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,12,Email,39,39,1450,30,0,9,0,11
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,12,SMS,11,13,6500,11,0,0,0,6
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,12,WhatsApp,41,41,8550,33,1,7,0,15
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,13,Call/IVR,18,18,15280,7,0,0,11,9
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,13,Email,33,33,1200,24,1,8,0,14
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,13,SMS,18,21,10500,18,0,0,0,9
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,13,WhatsApp,37,37,8000,31,2,4,0,14
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,14,Call/IVR,17,17,5080,6,0,0,11,7
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,14,Email,48,48,1950,39,3,6,0,12
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,14,SMS,15,21,10500,15,0,0,0,7
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,14,WhatsApp,40,40,8500,33,3,4,0,14
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,15,Call/IVR,15,15,2100,4,0,0,11,6
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,15,Email,63,63,2700,55,2,6,0,15
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,15,SMS,20,24,12000,20,0,0,0,8
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,15,WhatsApp,35,35,7900,33,0,2,0,11
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,16,Call/IVR,17,17,2480,4,0,0,13,6
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,16,Email,54,54,2100,43,1,10,0,17
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,16,SMS,12,15,7500,12,0,0,0,7
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,16,WhatsApp,42,42,9150,35,1,6,0,13
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,17,Call/IVR,17,17,300,1,0,0,16,7
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,17,Email,39,39,1550,33,1,5,0,11
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,17,SMS,14,14,7000,14,0,0,0,8
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,17,WhatsApp,37,37,8300,31,2,4,0,10
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,18,Email,57,57,2100,45,2,10,0,10
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,18,SMS,18,18,9000,18,0,0,0,11
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,18,WhatsApp,48,48,9750,39,0,9,0,11
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,19,Email,57,57,2250,47,0,10,0,15
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,19,SMS,24,29,14500,24,0,0,0,9
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,19,WhatsApp,38,38,7700,27,1,10,0,11
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,20,Email,47,47,1750,38,1,8,0,15
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,20,SMS,20,30,15000,20,0,0,0,9
2025-01-02,2025-01-02,01,2025-01,2025-W01,Thursday,4,20,WhatsApp,35,35,7100,29,0,6,0,14
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,8,Call/IVR,17,17,2540,4,0,0,13,9
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,8,Email,46,46,1750,35,1,10,0,15
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,8,SMS,18,23,11500,18,0,0,0,8
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,8,WhatsApp,40,40,9450,37,1,2,0,11
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,9,Call/IVR,23,23,6440,8,0,0,15,11
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,9,Email,54,54,2100,43,2,9,0,14
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,9,SMS,20,25,12500,20,0,0,0,11
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,9,WhatsApp,48,48,11050,44,1,3,0,14
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,10,Call/IVR,17,17,4820,6,0,0,11,6
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,10,Email,41,41,1450,30,0,11,0,12
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,10,SMS,20,20,9500,19,1,0,0,8
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,10,WhatsApp,45,45,7800,35,2,8,0,12
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,11,Call/IVR,12,12,3420,5,0,0,7,7
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,11,Email,53,53,2350,48,0,5,0,14
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,11,SMS,9,12,6000,9,0,0,0,6
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,11,WhatsApp,40,40,8800,37,1,2,0,12
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,12,Call/IVR,19,19,1000,1,0,0,18,10
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,12,Email,58,58,2050,45,1,12,0,14
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,12,SMS,16,16,8000,16,0,0,0,7
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,12,WhatsApp,46,46,9700,40,0,6,0,14
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,13,Call/IVR,24,24,3040,6,0,0,18,9
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,13,Email,53,53,2050,42,2,9,0,14
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,13,SMS,19,21,10500,19,0,0,0,10
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,13,WhatsApp,48,48,10900,44,1,3,0,18
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,14,Call/IVR,19,19,4280,6,0,0,13,8
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,14,Email,56,56,2400,48,1,7,0,11
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,14,SMS,16,19,9500,16,0,0,0,9
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,14,WhatsApp,44,44,9350,40,1,3,0,14
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,15,Call/IVR,12,12,2300,3,0,0,9,8
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,15,Email,64,64,2400,50,0,14,0,13
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,15,SMS,14,14,7000,14,0,0,0,6
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,15,WhatsApp,48,48,9500,40,2,6,0,13
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,16,Call/IVR,9,9,740,1,0,0,8,5
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,16,Email,54,54,2100,42,1,11,0,15
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,16,SMS,14,16,8000,14,0,0,0,6
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,16,WhatsApp,45,45,10000,39,1,5,0,9
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,17,Call/IVR,17,17,1500,1,0,0,16,8
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,17,Email,53,53,2150,44,1,8,0,13
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,17,SMS,21,27,13500,21,0,0,0,11
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,17,WhatsApp,36,36,7150,31,2,3,0,13
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,18,Email,51,51,1800,37,0,14,0,11
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,18,SMS,23,23,11500,23,0,0,0,12
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,18,WhatsApp,38,38,8650,35,0,3,0,13
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,19,Email,47,47,1950,40,1,6,0,14
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,19,SMS,15,21,10500,15,0,0,0,10
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,19,WhatsApp,42,42,8250,35,0,7,0,13
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,20,Email,60,60,2450,49,1,10,0,12
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,20,SMS,16,19,9000,15,1,0,0,9
2025-01-03,2025-01-03,01,2025-01,2025-W01,Friday,5,20,WhatsApp,42,42,10600,37,0,5,0,11
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,8,Call/IVR,15,15,4340,7,0,0,8,9
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,8,Email,53,53,2350,48,1,4,0,12
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,8,SMS,14,16,8000,14,0,0,0,7
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,8,WhatsApp,42,42,8100,37,0,5,0,14
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,9,Call/IVR,14,14,3460,4,0,0,10,7
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,9,Email,47,47,1750,35,0,12,0,15
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,9,SMS,14,14,7000,14,0,0,0,8
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,9,WhatsApp,46,46,11750,42,1,3,0,11
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,10,Call/IVR,16,16,5860,6,0,0,10,8
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,10,Email,48,48,1950,39,1,8,0,13
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,10,SMS,18,20,10000,18,0,0,0,9
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,10,WhatsApp,40,40,8850,34,0,6,0,16
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,11,Call/IVR,26,26,9600,11,0,0,15,13
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,11,Email,41,41,1600,33,0,8,0,10
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,11,SMS,20,24,12000,20,0,0,0,6
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,11,WhatsApp,37,37,7450,28,3,6,0,9
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,12,Call/IVR,16,16,2520,3,1,0,12,8
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,12,Email,58,58,2300,47,2,9,0,14
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,12,SMS,13,13,6500,13,0,0,0,9
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,12,WhatsApp,41,41,8400,38,0,3,0,11
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,13,Call/IVR,21,21,2080,3,0,0,18,11
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,13,Email,46,46,1700,34,0,12,0,13
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,13,SMS,15,21,10500,15,0,0,0,8
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,13,WhatsApp,47,47,9200,41,1,5,0,11
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,14,Call/IVR,20,20,2120,2,1,0,17,10
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,14,Email,63,63,2700,55,0,8,0,13
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,14,SMS,20,22,11000,20,0,0,0,10
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,14,WhatsApp,49,49,10400,40,1,8,0,12
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,15,Call/IVR,10,10,1120,1,0,0,9,7
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,15,Email,58,58,2250,47,0,11,0,13
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,15,SMS,14,14,7000,14,0,0,0,5
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,15,WhatsApp,39,39,7800,34,1,4,0,14
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,16,Call/IVR,13,13,1020,2,0,0,11,7
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,16,Email,47,47,1950,42,0,5,0,14
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,16,SMS,23,26,13000,23,0,0,0,8
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,16,WhatsApp,47,47,9750,38,2,7,0,10
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,17,Call/IVR,19,19,1640,2,0,0,17,9
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,17,Email,35,35,1550,32,2,1,0,12
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,17,SMS,21,24,12000,21,0,0,0,14
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,17,WhatsApp,51,51,9550,43,1,7,0,16
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,18,Email,42,42,1750,35,1,6,0,10
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,18,SMS,18,18,9000,18,0,0,0,8
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,18,WhatsApp,46,46,9750,38,3,5,0,13
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,19,Email,44,44,1800,37,0,7,0,11
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,19,SMS,16,16,8000,16,0,0,0,9
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,19,WhatsApp,40,40,8400,33,0,7,0,12
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,20,Email,39,39,1600,33,0,6,0,12
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,20,SMS,12,15,7500,12,0,0,0,8
2025-01-04,2025-01-04,01,2025-01,2025-W01,Saturday,6,20,WhatsApp,46,46,7800,33,1,12,0,11
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,8,Call/IVR,14,14,580,1,0,0,13,8
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,8,Email,44,44,1750,36,1,7,0,11
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,8,SMS,14,17,8500,14,0,0,0,8
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,8,WhatsApp,40,40,7950,37,0,3,0,11
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,9,Call/IVR,22,22,2680,3,0,0,19,5
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,9,Email,53,53,2000,41,1,11,0,13
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,9,SMS,16,16,8000,16,0,0,0,8
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,9,WhatsApp,45,45,11200,43,1,1,0,14
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,10,Call/IVR,14,14,2360,5,0,0,9,6
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,10,Email,58,58,2150,45,0,13,0,15
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,10,SMS,22,31,15500,22,0,0,0,12
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,10,WhatsApp,52,52,10550,44,1,7,0,12
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,11,Call/IVR,22,22,4180,5,0,0,17,7
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,11,Email,58,58,2400,49,3,6,0,13
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,11,SMS,13,15,7500,13,0,0,0,7
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,11,WhatsApp,43,43,8450,36,1,6,0,14
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,12,Call/IVR,20,20,4900,7,0,0,13,6
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,12,Email,56,56,2150,44,0,12,0,18
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,12,SMS,22,30,15000,22,0,0,0,8
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,12,WhatsApp,44,44,10000,37,1,6,0,13
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,13,Call/IVR,21,21,3380,5,1,0,15,8
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,13,Email,40,40,1550,32,1,7,0,16
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,13,SMS,14,19,9000,13,1,0,0,9
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,13,WhatsApp,37,37,6300,30,0,7,0,9
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,14,Call/IVR,16,16,2400,3,0,0,13,11
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,14,Email,30,30,1300,26,0,4,0,11
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,14,SMS,23,23,11500,23,0,0,0,9
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,14,WhatsApp,40,40,8500,34,1,5,0,13
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,15,Call/IVR,22,22,3380,6,0,0,16,9
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,15,Email,52,52,2400,49,0,3,0,13
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,15,SMS,20,23,11500,20,0,0,0,12
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,15,WhatsApp,47,47,8750,43,0,4,0,15
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,16,Call/IVR,7,7,900,2,0,0,5,3
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,16,Email,40,40,1500,30,0,10,0,10
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,16,SMS,11,18,9000,11,0,0,0,7
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,16,WhatsApp,51,51,10200,44,1,6,0,10
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,17,Call/IVR,12,12,1340,1,0,0,11,8
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,17,Email,45,45,1750,35,0,10,0,11
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,17,SMS,17,17,8500,17,0,0,0,9
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,17,WhatsApp,42,42,9250,37,1,4,0,12
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,18,Email,57,57,2200,47,0,10,0,15
2025-01-05,2025-01-05,01,2025-01,2025-W01,Sunday,7,18,SMS,20,29,14500,20,0,0,0,10
